Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000498667, 0.000365482, 0.000131081, 0, 8631, 2351, 0
0.000781372, 0.000580341, 0.00019602, 3.207e-06, 8207, 2137, 33
0.00240099, 0.00174865, 0.000648437, 0.000156429, 7864, 2305, 759
0.000644134, 0.000398631, 0.000243902, 7.126e-05, 8511, 2735, 1815
0.000895342, 0.00059099, 0.00030105, 2.5616e-05, 8087, 2632, 1122
0.000668854, 0.000474393, 0.000191659, 6.004e-06, 8105, 2627, 264
0.000537145, 0.000390223, 0.000143719, 1.901e-06, 8130, 2619, 33
0.000705174, 0.00046895, 0.000233925, 4.697e-06, 8365, 2413, 66
0.000607205, 0.000484945, 0.000120161, 0, 7876, 2073, 0
0.000569218, 0.000408269, 0.000158649, 2.699e-06, 8694, 2248, 33
